0.	-92.44090101842819
0.001	-92.43489604917816
0.002	-92.4288914700115
0.003	-92.4228872809028
0.004	-92.4168834818268
0.005	-92.41088007275812
0.006	-92.40487705367144
0.007	-92.39887442454142
0.008	-92.39287218534271
0.009000000000000001	-92.38687033605001
0.01	-92.38086887663798
0.011	-92.37486780708129
0.012	-92.36886712735463
0.013000000000000001	-92.36286683743266
0.014	-92.35686693729006
0.015	-92.3508674269015
0.016	-92.34486830624168
0.017	-92.33886957528527
0.018000000000000002	-92.33287123400697
0.019	-92.32687328238147
0.02	-92.32087572038344
0.021	-92.31487854798759
0.022	-92.3088817651686
0.023	-92.30288537190117
0.024	-92.29688936815998
0.025	-92.29089375391972
0.026000000000000002	-92.2848985291551
0.027	-92.2789036938408
0.028	-92.27290924795156
0.029	-92.26691519146206
0.03	-92.26092152434701
0.031	-92.25492824658113
0.032	-92.24893535813914
0.033	-92.24294285899569
0.034	-92.23695074912554
0.035	-92.23095902850336
0.036000000000000004	-92.22496769710389
0.037	-92.21897675490185
0.038	-92.21298620187194
0.039	-92.20699603798893
0.04	-92.20100626322748
0.041	-92.19501687756235
0.042	-92.18902788096827
0.043000000000000003	-92.18303927341994
0.044	-92.17705105489209
0.045	-92.17106322535945
0.046	-92.16507578479674
0.047	-92.1590887331787
0.048	-92.15310207048009
0.049	-92.14711579667562
0.05	-92.14112991174004
0.051000000000000004	-92.13514441564811
0.052000000000000005	-92.12915930837453
0.053	-92.12317458989406
0.054	-92.11719026018146
0.055	-92.11120631921142
0.056	-92.10522276695873
0.057	-92.0992396033981
0.058	-92.09325682850435
0.059000000000000004	-92.0872744422522
0.06	-92.08129244461638
0.061	-92.0753108355717
0.062	-92.06932961509287
0.063	-92.06334878315467
0.064	-92.05736833973184
0.065	-92.05138828479915
0.066	-92.04540861833134
0.067	-92.03942934030322
0.068	-92.03345045068953
0.069	-92.02747194946505
0.07	-92.02149383660456
0.07100000000000001	-92.01551611208284
0.07200000000000001	-92.00953877587462
0.073	-92.00356182795471
0.074	-91.99758526829787
0.075	-91.99160909687889
0.076	-91.98563331367252
0.077	-91.97965791865356
0.078	-91.9736829117968
0.079	-91.96770829307702
0.08	-91.96173406246903
0.081	-91.9557602199476
0.082	-91.94978676548753
0.083	-91.9438136990636
0.084	-91.9378410206506
0.085	-91.93186873022331
0.08600000000000001	-91.92589682775652
0.08700000000000001	-91.91992531322508
0.088	-91.91395418660375
0.089	-91.90798344786734
0.09	-91.90201309699067
0.091	-91.89604313394852
0.092	-91.89007355871574
0.093	-91.88410437126709
0.094	-91.87813557157739
0.095	-91.87216715962144
0.096	-91.86619913537407
0.097	-91.86023149881008
0.098	-91.8542642499043
0.099	-91.84829738863156
0.1	-91.84233091496667
0.101	-91.83636482888446
0.10200000000000001	-91.83039913035972
0.10300000000000001	-91.8244338193673
0.10400000000000001	-91.81846889588203
0.105	-91.81250435987872
0.106	-91.80654021133218
0.107	-91.80057645021726
0.108	-91.79461307650882
0.109	-91.78865009018166
0.11	-91.78268749121064
0.111	-91.7767252795706
0.112	-91.77076345523636
0.113	-91.76480201818278
0.114	-91.75884096838467
0.115	-91.75288030581689
0.116	-91.74692003045428
0.117	-91.74096014227167
0.11800000000000001	-91.73500064124394
0.11900000000000001	-91.72904152734596
0.12	-91.72308280055255
0.121	-91.71712446083858
0.122	-91.71116650817889
0.123	-91.70520894254834
0.124	-91.6992517639218
0.125	-91.69329497227409
0.126	-91.6873385675801
0.127	-91.6813825498147
0.128	-91.67542691895274
0.129	-91.66947167496912
0.13	-91.66351681783867
0.131	-91.6575623475363
0.132	-91.65160826403685
0.133	-91.6456545673152
0.134	-91.63970125734623
0.135	-91.63374833410481
0.136	-91.6277957975658
0.137	-91.62184364770408
0.138	-91.61589188449457
0.139	-91.60994050791214
0.14	-91.60398951793167
0.14100000000000001	-91.59803891452805
0.14200000000000002	-91.59208869767618
0.14300000000000002	-91.58613886735091
0.14400000000000002	-91.58018942352717
0.145	-91.57424036617982
0.146	-91.56829169528376
0.147	-91.5623434108139
0.148	-91.55639551274513
0.149	-91.55044800105235
0.15	-91.54450087571048
0.151	-91.53855413669442
0.152	-91.53260778397906
0.153	-91.5266618175393
0.154	-91.52071623735006
0.155	-91.51477104338623
0.156	-91.50882623562273
0.157	-91.50288181403448
0.158	-91.49693777859639
0.159	-91.49099412928338
0.16	-91.48505086607038
0.161	-91.47910798893228
0.162	-91.47316549784404
0.163	-91.46722339278054
0.164	-91.46128167371673
0.165	-91.4553403406275
0.166	-91.44939939348781
0.167	-91.44345883227257
0.168	-91.43751865695671
0.169	-91.4315788675152
0.17	-91.42563946392293
0.171	-91.41970044615488
0.17200000000000001	-91.41376181418596
0.17300000000000001	-91.4078235679911
0.17400000000000002	-91.40188570754525
0.17500000000000002	-91.39594823282333
0.176	-91.3900111438003
0.177	-91.38407444045112
0.178	-91.3781381227507
0.179	-91.37220219067402
0.18	-91.36626664419605
0.181	-91.36033148329169
0.182	-91.35439670793593
0.183	-91.34846231810373
0.184	-91.34252831377002
0.185	-91.33659469490973
0.186	-91.33066146149788
0.187	-91.32472861350938
0.188	-91.31879615091924
0.189	-91.3128640737024
0.19	-91.30693238183383
0.191	-91.3010010752885
0.192	-91.2950701540414
0.193	-91.28913961806747
0.194	-91.28320946734169
0.195	-91.27727970183902
0.196	-91.27135032153444
0.197	-91.26542132640294
0.198	-91.25949271641949
0.199	-91.2535644915591
0.2	-91.24763665179673
0.201	-91.24170919710737
0.202	-91.23578212746601
0.203	-91.22985544284761
0.20400000000000001	-91.2239291432272
