1 209.408 714.113 43.9947
3 628.113 2145.52 129.669
5 1046.71 3575.33 219.973
10 2091.86 7157.03 463.102
25 5212.98 17972.1 1389.31
50 10525.9 34671.8 2547.06
75 15883.3 50576.4 3936.37
100 21162.9 67753.2 5094.12
150 32932.9 85407.2 6483.43
